Time,Eval,TimeUsed,Moves,Board
140,0.38,"(82.5, 53.8)",[],r2qkb1r/pp1n1pp1/2p1p2p/3pPnP1/3P1B1P/3Q1N2/PPPN1P2/R3K2R w KQkq - 1 12
141,0.38,"(82.5, 53.8)",[],r2qkb1r/pp1n1pp1/2p1p2p/3pPnP1/3P1B1P/3Q1N2/PPPN1P2/R3K2R w KQkq - 1 12
142,0.38,"(82.5, 53.8)",[],r2qkb1r/pp1n1pp1/2p1p2p/3pPnP1/3P1B1P/3Q1N2/PPPN1P2/R3K2R w KQkq - 1 12
143,0.38,"(82.5, 53.8)",[],r2qkb1r/pp1n1pp1/2p1p2p/3pPnP1/3P1B1P/3Q1N2/PPPN1P2/R3K2R w KQkq - 1 12
144,0.38,"(82.5, 53.8)",[],r2qkb1r/pp1n1pp1/2p1p2p/3pPnP1/3P1B1P/3Q1N2/PPPN1P2/R3K2R w KQkq - 1 12
145,0.38,"(82.5, 53.8)",[],r2qkb1r/pp1n1pp1/2p1p2p/3pPnP1/3P1B1P/3Q1N2/PPPN1P2/R3K2R w KQkq - 1 12
146,0.38,"(82.5, 53.8)",[],r2qkb1r/pp1n1pp1/2p1p2p/3pPnP1/3P1B1P/3Q1N2/PPPN1P2/R3K2R w KQkq - 1 12
147,0.38,"(82.5, 53.8)",[],r2qkb1r/pp1n1pp1/2p1p2p/3pPnP1/3P1B1P/3Q1N2/PPPN1P2/R3K2R w KQkq - 1 12
148,0.38,"(82.5, 53.8)",[],r2qkb1r/pp1n1pp1/2p1p2p/3pPnP1/3P1B1P/3Q1N2/PPPN1P2/R3K2R w KQkq - 1 12
149,0.38,"(82.5, 53.8)",[],r2qkb1r/pp1n1pp1/2p1p2p/3pPnP1/3P1B1P/3Q1N2/PPPN1P2/R3K2R w KQkq - 1 12
150,0.38,"(82.5, 53.8)",[],r2qkb1r/pp1n1pp1/2p1p2p/3pPnP1/3P1B1P/3Q1N2/PPPN1P2/R3K2R w KQkq - 1 12
151,0.38,"(82.5, 53.8)",[],r2qkb1r/pp1n1pp1/2p1p2p/3pPnP1/3P1B1P/3Q1N2/PPPN1P2/R3K2R w KQkq - 1 12
152,0.38,"(82.5, 53.8)",[],r2qkb1r/pp1n1pp1/2p1p2p/3pPnP1/3P1B1P/3Q1N2/PPPN1P2/R3K2R w KQkq - 1 12
153,0.38,"(82.5, 53.8)",[],r2qkb1r/pp1n1pp1/2p1p2p/3pPnP1/3P1B1P/3Q1N2/PPPN1P2/R3K2R w KQkq - 1 12
154,0.38,"(82.5, 53.8)",[],r2qkb1r/pp1n1pp1/2p1p2p/3pPnP1/3P1B1P/3Q1N2/PPPN1P2/R3K2R w KQkq - 1 12
155,0.38,"(82.5, 53.8)",[],r2qkb1r/pp1n1pp1/2p1p2p/3pPnP1/3P1B1P/3Q1N2/PPPN1P2/R3K2R w KQkq - 1 12
156,0.38,"(82.5, 53.8)",[],r2qkb1r/pp1n1pp1/2p1p2p/3pPnP1/3P1B1P/3Q1N2/PPPN1P2/R3K2R w KQkq - 1 12
